year,week,loc,state,country,loc_type,number,event
1968,21,INDIANA,IN,US,STATE,23,CASES
1968,22,INDIANA,IN,US,STATE,25,CASES
1968,23,INDIANA,IN,US,STATE,4,CASES
1968,24,INDIANA,IN,US,STATE,24,CASES
1968,25,INDIANA,IN,US,STATE,9,CASES
1968,26,INDIANA,IN,US,STATE,7,CASES
1968,27,INDIANA,IN,US,STATE,6,CASES
1968,28,INDIANA,IN,US,STATE,2,CASES
1968,29,INDIANA,IN,US,STATE,4,CASES
1968,30,INDIANA,IN,US,STATE,12,CASES
1968,31,INDIANA,IN,US,STATE,13,CASES
1968,33,INDIANA,IN,US,STATE,10,CASES
1968,34,INDIANA,IN,US,STATE,4,CASES
1968,35,INDIANA,IN,US,STATE,13,CASES
1968,36,INDIANA,IN,US,STATE,1,CASES
1968,37,INDIANA,IN,US,STATE,1,CASES
1968,38,INDIANA,IN,US,STATE,4,CASES
1968,39,INDIANA,IN,US,STATE,2,CASES
1968,40,INDIANA,IN,US,STATE,7,CASES
1968,42,INDIANA,IN,US,STATE,8,CASES
1968,44,INDIANA,IN,US,STATE,1,CASES
1968,45,INDIANA,IN,US,STATE,5,CASES
1968,46,INDIANA,IN,US,STATE,3,CASES
1968,47,INDIANA,IN,US,STATE,2,CASES
1968,48,INDIANA,IN,US,STATE,5,CASES
1968,49,INDIANA,IN,US,STATE,10,CASES
1968,50,INDIANA,IN,US,STATE,11,CASES
1968,51,INDIANA,IN,US,STATE,10,CASES
1968,52,INDIANA,IN,US,STATE,6,CASES
1969,1,INDIANA,IN,US,STATE,3,CASES
1969,2,INDIANA,IN,US,STATE,6,CASES
1969,3,INDIANA,IN,US,STATE,17,CASES
1969,5,INDIANA,IN,US,STATE,3,CASES
1969,6,INDIANA,IN,US,STATE,14,CASES
1969,7,INDIANA,IN,US,STATE,7,CASES
1969,8,INDIANA,IN,US,STATE,22,CASES
1969,9,INDIANA,IN,US,STATE,7,CASES
1969,10,INDIANA,IN,US,STATE,25,CASES
1969,12,INDIANA,IN,US,STATE,59,CASES
1969,13,INDIANA,IN,US,STATE,27,CASES
1969,14,INDIANA,IN,US,STATE,28,CASES
1969,15,INDIANA,IN,US,STATE,17,CASES
1969,16,INDIANA,IN,US,STATE,36,CASES
1969,17,INDIANA,IN,US,STATE,27,CASES
1969,18,INDIANA,IN,US,STATE,29,CASES
1969,19,INDIANA,IN,US,STATE,8,CASES
1969,20,INDIANA,IN,US,STATE,34,CASES
1969,21,INDIANA,IN,US,STATE,32,CASES
1969,22,INDIANA,IN,US,STATE,5,CASES
1969,23,INDIANA,IN,US,STATE,9,CASES
1969,24,INDIANA,IN,US,STATE,4,CASES
1969,25,INDIANA,IN,US,STATE,2,CASES
1969,27,INDIANA,IN,US,STATE,2,CASES
1969,30,INDIANA,IN,US,STATE,2,CASES
1969,31,INDIANA,IN,US,STATE,10,CASES
1969,34,INDIANA,IN,US,STATE,1,CASES
1969,39,INDIANA,IN,US,STATE,1,CASES
1969,41,INDIANA,IN,US,STATE,1,CASES
1969,44,INDIANA,IN,US,STATE,2,CASES
1969,45,INDIANA,IN,US,STATE,4,CASES
1969,46,INDIANA,IN,US,STATE,2,CASES
1969,47,INDIANA,IN,US,STATE,2,CASES
1969,50,INDIANA,IN,US,STATE,5,CASES
1969,51,INDIANA,IN,US,STATE,2,CASES
1969,52,INDIANA,IN,US,STATE,16,CASES
1970,1,INDIANA,IN,US,STATE,1,CASES
1970,3,INDIANA,IN,US,STATE,22,CASES
1970,4,INDIANA,IN,US,STATE,5,CASES
1970,5,INDIANA,IN,US,STATE,5,CASES
1970,6,INDIANA,IN,US,STATE,12,CASES
1970,7,INDIANA,IN,US,STATE,7,CASES
1970,8,INDIANA,IN,US,STATE,9,CASES
1970,9,INDIANA,IN,US,STATE,36,CASES
1970,10,INDIANA,IN,US,STATE,12,CASES
1970,11,INDIANA,IN,US,STATE,13,CASES
1970,13,INDIANA,IN,US,STATE,13,CASES
1970,14,INDIANA,IN,US,STATE,12,CASES
1970,15,INDIANA,IN,US,STATE,18,CASES
1970,16,INDIANA,IN,US,STATE,11,CASES
1970,17,INDIANA,IN,US,STATE,10,CASES
1970,18,INDIANA,IN,US,STATE,6,CASES
1970,19,INDIANA,IN,US,STATE,4,CASES
1970,20,INDIANA,IN,US,STATE,24,CASES
1970,21,INDIANA,IN,US,STATE,10,CASES
1970,22,INDIANA,IN,US,STATE,8,CASES
1970,23,INDIANA,IN,US,STATE,2,CASES
1970,24,INDIANA,IN,US,STATE,3,CASES
1970,25,INDIANA,IN,US,STATE,3,CASES
1970,27,INDIANA,IN,US,STATE,7,CASES
1970,28,INDIANA,IN,US,STATE,7,CASES
1970,29,INDIANA,IN,US,STATE,2,CASES
1970,30,INDIANA,IN,US,STATE,6,CASES
1970,31,INDIANA,IN,US,STATE,3,CASES
1970,32,INDIANA,IN,US,STATE,1,CASES
1970,33,INDIANA,IN,US,STATE,2,CASES
1970,35,INDIANA,IN,US,STATE,2,CASES
1970,36,INDIANA,IN,US,STATE,1,CASES
1970,37,INDIANA,IN,US,STATE,1,CASES
1970,38,INDIANA,IN,US,STATE,1,CASES
1970,39,INDIANA,IN,US,STATE,1,CASES
1970,45,INDIANA,IN,US,STATE,1,CASES
1970,47,INDIANA,IN,US,STATE,2,CASES
1970,48,INDIANA,IN,US,STATE,2,CASES
1970,49,INDIANA,IN,US,STATE,2,CASES
1971,2,INDIANA,IN,US,STATE,2,CASES
1971,4,INDIANA,IN,US,STATE,6,CASES
1971,5,INDIANA,IN,US,STATE,2,CASES
1971,6,INDIANA,IN,US,STATE,9,CASES
1971,7,INDIANA,IN,US,STATE,8,CASES
1971,9,INDIANA,IN,US,STATE,103,CASES
1971,10,INDIANA,IN,US,STATE,80,CASES
1971,11,INDIANA,IN,US,STATE,179,CASES
1971,12,INDIANA,IN,US,STATE,130,CASES
1971,13,INDIANA,IN,US,STATE,114,CASES
1971,14,INDIANA,IN,US,STATE,132,CASES
1971,15,INDIANA,IN,US,STATE,197,CASES
1971,16,INDIANA,IN,US,STATE,120,CASES
1971,17,INDIANA,IN,US,STATE,141,CASES
1971,18,INDIANA,IN,US,STATE,188,CASES
1971,19,INDIANA,IN,US,STATE,247,CASES
1971,20,INDIANA,IN,US,STATE,173,CASES
1971,21,INDIANA,IN,US,STATE,112,CASES
1971,22,INDIANA,IN,US,STATE,216,CASES
1971,23,INDIANA,IN,US,STATE,144,CASES
1971,24,INDIANA,IN,US,STATE,101,CASES
1971,25,INDIANA,IN,US,STATE,98,CASES
1971,26,INDIANA,IN,US,STATE,55,CASES
1971,27,INDIANA,IN,US,STATE,24,CASES
1971,28,INDIANA,IN,US,STATE,20,CASES
1971,29,INDIANA,IN,US,STATE,27,CASES
1971,30,INDIANA,IN,US,STATE,9,CASES
1971,31,INDIANA,IN,US,STATE,2,CASES
1971,32,INDIANA,IN,US,STATE,9,CASES
1971,33,INDIANA,IN,US,STATE,4,CASES
1971,34,INDIANA,IN,US,STATE,51,CASES
1971,35,INDIANA,IN,US,STATE,4,CASES
1971,36,INDIANA,IN,US,STATE,5,CASES
1971,37,INDIANA,IN,US,STATE,3,CASES
1971,38,INDIANA,IN,US,STATE,3,CASES
1971,39,INDIANA,IN,US,STATE,3,CASES
1971,40,INDIANA,IN,US,STATE,6,CASES
1971,41,INDIANA,IN,US,STATE,3,CASES
1971,42,INDIANA,IN,US,STATE,4,CASES
1971,43,INDIANA,IN,US,STATE,2,CASES
1971,44,INDIANA,IN,US,STATE,7,CASES
1971,45,INDIANA,IN,US,STATE,11,CASES
1971,46,INDIANA,IN,US,STATE,85,CASES
1971,47,INDIANA,IN,US,STATE,15,CASES
1971,48,INDIANA,IN,US,STATE,28,CASES
1971,49,INDIANA,IN,US,STATE,64,CASES
1971,50,INDIANA,IN,US,STATE,23,CASES
1971,51,INDIANA,IN,US,STATE,99,CASES
1972,1,INDIANA,IN,US,STATE,26,CASES
1972,3,INDIANA,IN,US,STATE,156,CASES
1972,4,INDIANA,IN,US,STATE,9,CASES
1972,5,INDIANA,IN,US,STATE,132,CASES
1972,6,INDIANA,IN,US,STATE,16,CASES
1972,7,INDIANA,IN,US,STATE,37,CASES
1972,8,INDIANA,IN,US,STATE,37,CASES
1972,9,INDIANA,IN,US,STATE,9,CASES
1972,10,INDIANA,IN,US,STATE,64,CASES
1972,11,INDIANA,IN,US,STATE,25,CASES
1972,12,INDIANA,IN,US,STATE,33,CASES
1972,13,INDIANA,IN,US,STATE,50,CASES
1972,14,INDIANA,IN,US,STATE,60,CASES
1972,15,INDIANA,IN,US,STATE,29,CASES
1972,16,INDIANA,IN,US,STATE,63,CASES
1972,17,INDIANA,IN,US,STATE,28,CASES
1972,18,INDIANA,IN,US,STATE,67,CASES
1972,19,INDIANA,IN,US,STATE,56,CASES
1972,20,INDIANA,IN,US,STATE,50,CASES
1972,21,INDIANA,IN,US,STATE,46,CASES
1972,23,INDIANA,IN,US,STATE,34,CASES
1972,24,INDIANA,IN,US,STATE,21,CASES
1972,25,INDIANA,IN,US,STATE,7,CASES
1972,26,INDIANA,IN,US,STATE,27,CASES
1972,27,INDIANA,IN,US,STATE,11,CASES
1972,28,INDIANA,IN,US,STATE,5,CASES
1972,29,INDIANA,IN,US,STATE,11,CASES
1972,30,INDIANA,IN,US,STATE,10,CASES
1972,31,INDIANA,IN,US,STATE,6,CASES
1972,32,INDIANA,IN,US,STATE,3,CASES
1972,33,INDIANA,IN,US,STATE,3,CASES
1972,35,INDIANA,IN,US,STATE,4,CASES
1972,36,INDIANA,IN,US,STATE,2,CASES
1972,37,INDIANA,IN,US,STATE,4,CASES
1972,38,INDIANA,IN,US,STATE,1,CASES
1972,39,INDIANA,IN,US,STATE,2,CASES
1972,40,INDIANA,IN,US,STATE,15,CASES
1972,41,INDIANA,IN,US,STATE,4,CASES
1972,42,INDIANA,IN,US,STATE,6,CASES
1972,43,INDIANA,IN,US,STATE,7,CASES
1972,44,INDIANA,IN,US,STATE,13,CASES
1972,45,INDIANA,IN,US,STATE,3,CASES
1972,46,INDIANA,IN,US,STATE,15,CASES
1972,47,INDIANA,IN,US,STATE,12,CASES
1972,48,INDIANA,IN,US,STATE,8,CASES
1972,49,INDIANA,IN,US,STATE,15,CASES
1972,50,INDIANA,IN,US,STATE,15,CASES
1972,51,INDIANA,IN,US,STATE,10,CASES
1973,2,INDIANA,IN,US,STATE,27,CASES
1973,3,INDIANA,IN,US,STATE,13,CASES
1973,4,INDIANA,IN,US,STATE,23,CASES
1973,5,INDIANA,IN,US,STATE,3,CASES
1973,6,INDIANA,IN,US,STATE,26,CASES
1973,7,INDIANA,IN,US,STATE,4,CASES
1973,8,INDIANA,IN,US,STATE,33,CASES
1973,9,INDIANA,IN,US,STATE,7,CASES
1973,10,INDIANA,IN,US,STATE,40,CASES
1973,11,INDIANA,IN,US,STATE,24,CASES
1973,12,INDIANA,IN,US,STATE,22,CASES
1973,13,INDIANA,IN,US,STATE,29,CASES
1973,14,INDIANA,IN,US,STATE,20,CASES
1973,15,INDIANA,IN,US,STATE,55,CASES
1973,16,INDIANA,IN,US,STATE,10,CASES
1973,17,INDIANA,IN,US,STATE,58,CASES
1973,18,INDIANA,IN,US,STATE,32,CASES
1973,19,INDIANA,IN,US,STATE,26,CASES
1973,20,INDIANA,IN,US,STATE,30,CASES
1973,21,INDIANA,IN,US,STATE,12,CASES
1973,22,INDIANA,IN,US,STATE,5,CASES
1973,23,INDIANA,IN,US,STATE,10,CASES
1973,24,INDIANA,IN,US,STATE,13,CASES
1973,25,INDIANA,IN,US,STATE,10,CASES
1973,26,INDIANA,IN,US,STATE,22,CASES
1973,27,INDIANA,IN,US,STATE,14,CASES
1973,28,INDIANA,IN,US,STATE,21,CASES
1973,29,INDIANA,IN,US,STATE,6,CASES
1973,30,INDIANA,IN,US,STATE,18,CASES
1973,31,INDIANA,IN,US,STATE,4,CASES
1973,32,INDIANA,IN,US,STATE,1,CASES
1973,33,INDIANA,IN,US,STATE,1,CASES
1973,34,INDIANA,IN,US,STATE,1,CASES
1973,35,INDIANA,IN,US,STATE,9,CASES
1973,36,INDIANA,IN,US,STATE,2,CASES
1973,37,INDIANA,IN,US,STATE,1,CASES
1973,40,INDIANA,IN,US,STATE,6,CASES
1973,41,INDIANA,IN,US,STATE,1,CASES
1973,42,INDIANA,IN,US,STATE,6,CASES
1973,43,INDIANA,IN,US,STATE,4,CASES
1973,44,INDIANA,IN,US,STATE,11,CASES
1973,45,INDIANA,IN,US,STATE,6,CASES
1973,46,INDIANA,IN,US,STATE,3,CASES
1973,47,INDIANA,IN,US,STATE,2,CASES
1973,48,INDIANA,IN,US,STATE,6,CASES
1973,49,INDIANA,IN,US,STATE,13,CASES
1973,50,INDIANA,IN,US,STATE,5,CASES
1973,51,INDIANA,IN,US,STATE,6,CASES
1974,1,INDIANA,IN,US,STATE,1,CASES
1974,2,INDIANA,IN,US,STATE,6,CASES
1974,4,INDIANA,IN,US,STATE,9,CASES
1974,5,INDIANA,IN,US,STATE,2,CASES
1974,6,INDIANA,IN,US,STATE,6,CASES
1974,7,INDIANA,IN,US,STATE,4,CASES
1974,8,INDIANA,IN,US,STATE,14,CASES
1974,9,INDIANA,IN,US,STATE,12,CASES
1974,10,INDIANA,IN,US,STATE,10,CASES
1974,11,INDIANA,IN,US,STATE,4,CASES
1974,12,INDIANA,IN,US,STATE,7,CASES
1974,13,INDIANA,IN,US,STATE,5,CASES
1974,14,INDIANA,IN,US,STATE,17,CASES
1974,15,INDIANA,IN,US,STATE,11,CASES
1974,16,INDIANA,IN,US,STATE,6,CASES
1974,17,INDIANA,IN,US,STATE,10,CASES
1974,18,INDIANA,IN,US,STATE,10,CASES
1974,19,INDIANA,IN,US,STATE,10,CASES
1974,20,INDIANA,IN,US,STATE,11,CASES
1974,21,INDIANA,IN,US,STATE,10,CASES
1974,22,INDIANA,IN,US,STATE,14,CASES
1974,24,INDIANA,IN,US,STATE,3,CASES
1974,25,INDIANA,IN,US,STATE,4,CASES
1974,26,INDIANA,IN,US,STATE,1,CASES
1974,27,INDIANA,IN,US,STATE,3,CASES
1974,28,INDIANA,IN,US,STATE,3,CASES
1974,29,INDIANA,IN,US,STATE,1,CASES
1974,30,INDIANA,IN,US,STATE,3,CASES
1974,31,INDIANA,IN,US,STATE,5,CASES
1974,32,INDIANA,IN,US,STATE,1,CASES
1974,33,INDIANA,IN,US,STATE,3,CASES
1974,34,INDIANA,IN,US,STATE,2,CASES
1974,35,INDIANA,IN,US,STATE,3,CASES
1974,36,INDIANA,IN,US,STATE,3,CASES
1974,37,INDIANA,IN,US,STATE,6,CASES
1974,39,INDIANA,IN,US,STATE,3,CASES
1974,40,INDIANA,IN,US,STATE,11,CASES
1974,41,INDIANA,IN,US,STATE,2,CASES
1974,43,INDIANA,IN,US,STATE,2,CASES
1974,45,INDIANA,IN,US,STATE,6,CASES
1974,46,INDIANA,IN,US,STATE,6,CASES
1974,47,INDIANA,IN,US,STATE,2,CASES
1974,49,INDIANA,IN,US,STATE,4,CASES
1974,50,INDIANA,IN,US,STATE,3,CASES
1974,51,INDIANA,IN,US,STATE,4,CASES
1974,52,INDIANA,IN,US,STATE,1,CASES
1975,1,INDIANA,IN,US,STATE,5,CASES
1975,2,INDIANA,IN,US,STATE,5,CASES
1975,3,INDIANA,IN,US,STATE,3,CASES
1975,4,INDIANA,IN,US,STATE,17,CASES
1975,5,INDIANA,IN,US,STATE,17,CASES
1975,6,INDIANA,IN,US,STATE,11,CASES
1975,7,INDIANA,IN,US,STATE,7,CASES
1975,8,INDIANA,IN,US,STATE,2,CASES
1975,9,INDIANA,IN,US,STATE,13,CASES
1975,10,INDIANA,IN,US,STATE,21,CASES
1975,11,INDIANA,IN,US,STATE,13,CASES
1975,12,INDIANA,IN,US,STATE,25,CASES
1975,13,INDIANA,IN,US,STATE,11,CASES
1975,14,INDIANA,IN,US,STATE,8,CASES
1975,15,INDIANA,IN,US,STATE,14,CASES
1975,16,INDIANA,IN,US,STATE,28,CASES
1975,17,INDIANA,IN,US,STATE,38,CASES
1975,18,INDIANA,IN,US,STATE,43,CASES
1975,19,INDIANA,IN,US,STATE,18,CASES
1975,20,INDIANA,IN,US,STATE,3,CASES
1975,21,INDIANA,IN,US,STATE,5,CASES
1975,22,INDIANA,IN,US,STATE,11,CASES
1975,23,INDIANA,IN,US,STATE,9,CASES
1975,24,INDIANA,IN,US,STATE,1,CASES
1975,25,INDIANA,IN,US,STATE,2,CASES
1975,26,INDIANA,IN,US,STATE,1,CASES
1975,27,INDIANA,IN,US,STATE,3,CASES
1975,28,INDIANA,IN,US,STATE,3,CASES
1975,29,INDIANA,IN,US,STATE,5,CASES
1975,30,INDIANA,IN,US,STATE,3,CASES
1975,31,INDIANA,IN,US,STATE,2,CASES
1975,32,INDIANA,IN,US,STATE,5,CASES
1975,33,INDIANA,IN,US,STATE,12,CASES
1975,34,INDIANA,IN,US,STATE,10,CASES
1975,35,INDIANA,IN,US,STATE,4,CASES
1975,36,INDIANA,IN,US,STATE,3,CASES
1975,37,INDIANA,IN,US,STATE,5,CASES
1975,38,INDIANA,IN,US,STATE,8,CASES
1975,39,INDIANA,IN,US,STATE,8,CASES
1975,40,INDIANA,IN,US,STATE,2,CASES
1975,41,INDIANA,IN,US,STATE,3,CASES
1975,42,INDIANA,IN,US,STATE,3,CASES
1975,43,INDIANA,IN,US,STATE,16,CASES
1975,46,INDIANA,IN,US,STATE,9,CASES
1975,47,INDIANA,IN,US,STATE,3,CASES
1975,48,INDIANA,IN,US,STATE,14,CASES
1975,49,INDIANA,IN,US,STATE,5,CASES
1975,50,INDIANA,IN,US,STATE,11,CASES
1975,51,INDIANA,IN,US,STATE,46,CASES
1975,52,INDIANA,IN,US,STATE,2,CASES
1976,1,INDIANA,IN,US,STATE,8,CASES
1976,2,INDIANA,IN,US,STATE,46,CASES
1976,3,INDIANA,IN,US,STATE,11,CASES
1976,4,INDIANA,IN,US,STATE,21,CASES
1976,5,INDIANA,IN,US,STATE,17,CASES
1976,6,INDIANA,IN,US,STATE,49,CASES
1976,7,INDIANA,IN,US,STATE,89,CASES
1976,8,INDIANA,IN,US,STATE,57,CASES
1976,9,INDIANA,IN,US,STATE,130,CASES
1976,10,INDIANA,IN,US,STATE,136,CASES
1976,11,INDIANA,IN,US,STATE,107,CASES
1976,12,INDIANA,IN,US,STATE,97,CASES
1976,13,INDIANA,IN,US,STATE,110,CASES
1976,14,INDIANA,IN,US,STATE,155,CASES
1976,15,INDIANA,IN,US,STATE,117,CASES
1976,16,INDIANA,IN,US,STATE,54,CASES
1976,18,INDIANA,IN,US,STATE,213,CASES
1976,19,INDIANA,IN,US,STATE,202,CASES
1976,20,INDIANA,IN,US,STATE,245,CASES
1976,21,INDIANA,IN,US,STATE,240,CASES
1976,22,INDIANA,IN,US,STATE,135,CASES
1976,23,INDIANA,IN,US,STATE,158,CASES
1976,24,INDIANA,IN,US,STATE,71,CASES
1976,25,INDIANA,IN,US,STATE,164,CASES
1976,26,INDIANA,IN,US,STATE,136,CASES
1976,27,INDIANA,IN,US,STATE,57,CASES
1976,28,INDIANA,IN,US,STATE,72,CASES
1976,29,INDIANA,IN,US,STATE,55,CASES
1976,30,INDIANA,IN,US,STATE,121,CASES
1976,31,INDIANA,IN,US,STATE,13,CASES
1976,32,INDIANA,IN,US,STATE,10,CASES
1976,33,INDIANA,IN,US,STATE,9,CASES
1976,34,INDIANA,IN,US,STATE,4,CASES
1976,35,INDIANA,IN,US,STATE,1,CASES
1976,36,INDIANA,IN,US,STATE,4,CASES
1976,37,INDIANA,IN,US,STATE,4,CASES
1976,38,INDIANA,IN,US,STATE,16,CASES
1976,39,INDIANA,IN,US,STATE,7,CASES
1976,40,INDIANA,IN,US,STATE,40,CASES
1976,41,INDIANA,IN,US,STATE,38,CASES
1976,42,INDIANA,IN,US,STATE,3,CASES
1976,43,INDIANA,IN,US,STATE,21,CASES
1976,44,INDIANA,IN,US,STATE,49,CASES
1976,45,INDIANA,IN,US,STATE,46,CASES
1976,46,INDIANA,IN,US,STATE,117,CASES
1976,47,INDIANA,IN,US,STATE,35,CASES
1976,48,INDIANA,IN,US,STATE,162,CASES
1976,49,INDIANA,IN,US,STATE,124,CASES
1976,50,INDIANA,IN,US,STATE,217,CASES
1976,51,INDIANA,IN,US,STATE,153,CASES
1976,52,INDIANA,IN,US,STATE,191,CASES
1977,2,INDIANA,IN,US,STATE,161,CASES
1977,3,INDIANA,IN,US,STATE,199,CASES
1977,4,INDIANA,IN,US,STATE,57,CASES
1977,5,INDIANA,IN,US,STATE,138,CASES
1977,6,INDIANA,IN,US,STATE,236,CASES
1977,7,INDIANA,IN,US,STATE,245,CASES
1977,8,INDIANA,IN,US,STATE,186,CASES
1977,11,INDIANA,IN,US,STATE,164,CASES
1977,12,INDIANA,IN,US,STATE,159,CASES
1977,13,INDIANA,IN,US,STATE,279,CASES
1977,14,INDIANA,IN,US,STATE,59,CASES
1977,15,INDIANA,IN,US,STATE,269,CASES
1977,16,INDIANA,IN,US,STATE,113,CASES
1977,17,INDIANA,IN,US,STATE,210,CASES
1977,18,INDIANA,IN,US,STATE,131,CASES
1977,19,INDIANA,IN,US,STATE,348,CASES
1977,20,INDIANA,IN,US,STATE,170,CASES
1977,21,INDIANA,IN,US,STATE,228,CASES
1977,22,INDIANA,IN,US,STATE,121,CASES
1977,23,INDIANA,IN,US,STATE,116,CASES
1977,24,INDIANA,IN,US,STATE,55,CASES
1977,25,INDIANA,IN,US,STATE,38,CASES
1977,26,INDIANA,IN,US,STATE,38,CASES
1977,27,INDIANA,IN,US,STATE,22,CASES
1977,28,INDIANA,IN,US,STATE,13,CASES
1977,29,INDIANA,IN,US,STATE,18,CASES
1977,30,INDIANA,IN,US,STATE,4,CASES
1977,31,INDIANA,IN,US,STATE,4,CASES
1977,32,INDIANA,IN,US,STATE,10,CASES
1977,33,INDIANA,IN,US,STATE,6,CASES
1977,34,INDIANA,IN,US,STATE,2,CASES
1977,35,INDIANA,IN,US,STATE,14,CASES
1977,36,INDIANA,IN,US,STATE,4,CASES
1977,37,INDIANA,IN,US,STATE,21,CASES
1977,38,INDIANA,IN,US,STATE,4,CASES
1977,39,INDIANA,IN,US,STATE,2,CASES
1977,40,INDIANA,IN,US,STATE,4,CASES
1977,41,INDIANA,IN,US,STATE,8,CASES
1977,42,INDIANA,IN,US,STATE,2,CASES
1977,43,INDIANA,IN,US,STATE,5,CASES
1977,44,INDIANA,IN,US,STATE,5,CASES
1977,45,INDIANA,IN,US,STATE,3,CASES
1977,46,INDIANA,IN,US,STATE,9,CASES
1977,47,INDIANA,IN,US,STATE,4,CASES
1977,48,INDIANA,IN,US,STATE,3,CASES
1977,49,INDIANA,IN,US,STATE,3,CASES
1977,50,INDIANA,IN,US,STATE,4,CASES
1978,3,INDIANA,IN,US,STATE,14,CASES
1978,5,INDIANA,IN,US,STATE,4,CASES
1978,7,INDIANA,IN,US,STATE,5,CASES
1978,8,INDIANA,IN,US,STATE,3,CASES
1978,9,INDIANA,IN,US,STATE,1,CASES
1978,10,INDIANA,IN,US,STATE,4,CASES
1978,11,INDIANA,IN,US,STATE,5,CASES
1978,12,INDIANA,IN,US,STATE,2,CASES
1978,13,INDIANA,IN,US,STATE,3,CASES
1978,14,INDIANA,IN,US,STATE,5,CASES
1978,15,INDIANA,IN,US,STATE,5,CASES
1978,16,INDIANA,IN,US,STATE,13,CASES
1978,17,INDIANA,IN,US,STATE,6,CASES
1978,18,INDIANA,IN,US,STATE,1,CASES
1978,19,INDIANA,IN,US,STATE,21,CASES
1978,20,INDIANA,IN,US,STATE,22,CASES
1978,22,INDIANA,IN,US,STATE,9,CASES
1978,23,INDIANA,IN,US,STATE,16,CASES
1978,24,INDIANA,IN,US,STATE,5,CASES
1978,26,INDIANA,IN,US,STATE,2,CASES
1978,27,INDIANA,IN,US,STATE,4,CASES
1978,30,INDIANA,IN,US,STATE,4,CASES
1978,32,INDIANA,IN,US,STATE,1,CASES
1978,33,INDIANA,IN,US,STATE,6,CASES
1978,34,INDIANA,IN,US,STATE,5,CASES
1978,36,INDIANA,IN,US,STATE,1,CASES
1978,37,INDIANA,IN,US,STATE,3,CASES
1978,38,INDIANA,IN,US,STATE,3,CASES
1978,39,INDIANA,IN,US,STATE,4,CASES
1978,40,INDIANA,IN,US,STATE,3,CASES
1978,44,INDIANA,IN,US,STATE,6,CASES
1978,45,INDIANA,IN,US,STATE,7,CASES
1978,47,INDIANA,IN,US,STATE,1,CASES
1978,51,INDIANA,IN,US,STATE,6,CASES
1978,52,INDIANA,IN,US,STATE,5,CASES
1979,1,INDIANA,IN,US,STATE,1,CASES
1979,2,INDIANA,IN,US,STATE,4,CASES
1979,4,INDIANA,IN,US,STATE,3,CASES
1979,8,INDIANA,IN,US,STATE,3,CASES
1979,9,INDIANA,IN,US,STATE,6,CASES
1979,12,INDIANA,IN,US,STATE,4,CASES
1979,13,INDIANA,IN,US,STATE,8,CASES
1979,14,INDIANA,IN,US,STATE,5,CASES
1979,15,INDIANA,IN,US,STATE,10,CASES
1979,16,INDIANA,IN,US,STATE,6,CASES
1979,18,INDIANA,IN,US,STATE,9,CASES
1979,19,INDIANA,IN,US,STATE,15,CASES
1979,20,INDIANA,IN,US,STATE,7,CASES
1979,21,INDIANA,IN,US,STATE,12,CASES
1979,22,INDIANA,IN,US,STATE,5,CASES
1979,23,INDIANA,IN,US,STATE,6,CASES
1979,24,INDIANA,IN,US,STATE,4,CASES
1979,25,INDIANA,IN,US,STATE,2,CASES
1979,26,INDIANA,IN,US,STATE,4,CASES
1979,27,INDIANA,IN,US,STATE,2,CASES
1979,28,INDIANA,IN,US,STATE,6,CASES
1979,29,INDIANA,IN,US,STATE,21,CASES
1979,30,INDIANA,IN,US,STATE,1,CASES
1979,31,INDIANA,IN,US,STATE,2,CASES
1979,34,INDIANA,IN,US,STATE,8,CASES
1979,35,INDIANA,IN,US,STATE,1,CASES
1979,36,INDIANA,IN,US,STATE,2,CASES
1979,37,INDIANA,IN,US,STATE,1,CASES
1979,38,INDIANA,IN,US,STATE,2,CASES
1979,40,INDIANA,IN,US,STATE,6,CASES
1979,41,INDIANA,IN,US,STATE,4,CASES
1979,43,INDIANA,IN,US,STATE,2,CASES
1979,44,INDIANA,IN,US,STATE,8,CASES
1979,46,INDIANA,IN,US,STATE,1,CASES
1979,47,INDIANA,IN,US,STATE,1,CASES
1979,49,INDIANA,IN,US,STATE,2,CASES
1979,50,INDIANA,IN,US,STATE,1,CASES
1979,51,INDIANA,IN,US,STATE,1,CASES
1979,52,INDIANA,IN,US,STATE,2,CASES
1980,3,INDIANA,IN,US,STATE,1,CASES
1980,5,INDIANA,IN,US,STATE,1,CASES
1980,6,INDIANA,IN,US,STATE,4,CASES
1980,8,INDIANA,IN,US,STATE,5,CASES
1980,9,INDIANA,IN,US,STATE,3,CASES
1980,10,INDIANA,IN,US,STATE,1,CASES
1980,11,INDIANA,IN,US,STATE,4,CASES
1980,12,INDIANA,IN,US,STATE,3,CASES
1980,13,INDIANA,IN,US,STATE,2,CASES
1980,14,INDIANA,IN,US,STATE,10,CASES
1980,15,INDIANA,IN,US,STATE,14,CASES
1980,16,INDIANA,IN,US,STATE,6,CASES
1980,17,INDIANA,IN,US,STATE,2,CASES
1980,18,INDIANA,IN,US,STATE,4,CASES
1980,19,INDIANA,IN,US,STATE,15,CASES
1980,20,INDIANA,IN,US,STATE,6,CASES
1980,21,INDIANA,IN,US,STATE,6,CASES
1980,22,INDIANA,IN,US,STATE,4,CASES
1980,24,INDIANA,IN,US,STATE,4,CASES
1980,25,INDIANA,IN,US,STATE,1,CASES
1980,26,INDIANA,IN,US,STATE,2,CASES
